     W,     h,     H,   Rho,   V_B,   V_C,   V_D,     B,     G,     C,     F,     D,     E
122348,     0,     9, 1.225,107.73,250.81,306.26, 2.609,-0.609, 6.079,-4.079, 5.512,-3.512
147382,     0,     9, 1.225,111.16,250.81,306.26, 2.404,-0.404, 5.301,-3.301, 4.858,-2.858
262632,     0,     9, 1.225,122.19,250.81,306.26, 1.906, 0.094, 3.526,-1.526, 3.315,-1.315
122348,  7000,     9, 0.590,130.25,250.81,281.04, 1.587, 0.413, 2.684,-0.684, 2.258,-0.258
147382,  7000,     9, 0.590,134.07,250.81,281.04, 1.509, 0.491, 2.415,-0.415, 2.061,-0.061
262632,  7000,     9, 0.590,148.10,250.81,281.04, 1.329, 0.671, 1.814, 0.186, 1.616, 0.384
122348, 13106,     9, 0.261,173.62,250.81,265.56, 1.271, 0.729, 1.594, 0.406, 1.377, 0.623
147382, 13106,     9, 0.261,178.84,250.81,265.56, 1.237, 0.763, 1.496, 0.504, 1.315, 0.685
262632, 13106,     9, 0.261,199.72,250.81,265.56, 1.161, 0.839, 1.282, 0.718, 1.180, 0.820
122348,     0,   107, 1.225,107.73,250.81,306.26, 2.226,-0.226, 4.259,-2.259, 3.251,-1.251
147382,     0,   107, 1.225,111.16,250.81,306.26, 2.162,-0.162, 4.043,-2.043, 3.150,-1.150
262632,     0,   107, 1.225,122.19,250.81,306.26, 1.926, 0.074, 3.309,-1.309, 2.753,-0.753
122348,  7000,   107, 0.590,130.25,250.81,281.04, 1.589, 0.411, 2.445,-0.445, 1.938, 0.062
147382,  7000,   107, 0.590,134.07,250.81,281.04, 1.540, 0.460, 2.307,-0.307, 1.862, 0.138
262632,  7000,   107, 0.590,148.10,250.81,281.04, 1.399, 0.601, 1.903, 0.097, 1.624, 0.376
122348, 13106,   107, 0.261,173.62,250.81,265.56, 1.326, 0.674, 1.646, 0.354, 1.388, 0.612
147382, 13106,   107, 0.261,178.84,250.81,265.56, 1.294, 0.706, 1.566, 0.434, 1.343, 0.657
262632, 13106,   107, 0.261,199.72,250.81,265.56, 1.216, 0.784, 1.360, 0.640, 1.223, 0.777